alcohol,alcohol_m,alcohol_f,tobacco,tobacco_m,tobacco_f,diabetes,tuberculosis,mortality,mortality_m,mortality_f
11.71343,17.92427,5.52763,23.2,25.3,21.1,4.5,5.7,9.5,11.6,7.3
10.83775,17.66167,4.82148,34.6,39.4,29.7,6.6,18.0,24.5,33.5,16.4
8.71981,13.75757,3.86129,42.9,49.1,36.7,5.1,5.1,13.0,18.1,8.1
13.21968,21.00366,5.8123,31.4,35.8,26.9,5.3,5.4,14.9,19.8,10.2
11.40099,18.28931,5.23832,25.3,33.1,17.4,9.6,24.0,11.5,15.9,7.4
7.67835,12.29967,3.40767,23.8,27.9,19.6,5.1,6.6,9.8,12.4,7.3
11.46278,18.39543,5.09315,27.2,31.6,22.8,9.0,17.0,18.2,24.6,12.1
9.78872,15.27233,4.41575,32.3,37.9,26.7,4.2,7.1,9.8,11.3,8.4
13.09042,21.73064,5.99413,37.0,50.3,23.7,5.9,19.0,21.6,31.2,13.5
8.07439,12.28169,3.69603,12.0,11.9,12.0,3.2,3.8,8.7,10.2,7.0
9.43487,14.84425,4.26953,24.5,30.9,18.0,5.8,5.6,10.6,14.0,7.3
6.90897,10.82393,3.08387,28.6,33.3,23.9,6.6,8.0,11.8,14.8,8.8
10.31864,16.46993,4.57514,31.5,38.6,24.3,5.7,6.5,17.5,24.1,11.5
7.96607,12.71871,3.53716,23.1,26.6,19.5,6.4,4.6,9.0,11.3,6.8
11.14347,17.70949,4.81498,23.5,25.7,21.3,7.5,10.0,13.3,17.6,9.0
11.7853,19.33714,5.39399,32.0,42.1,21.8,5.8,30.0,19.3,28.4,11.7
11.7039,18.05577,5.57809,20.8,22.5,19.0,3.0,4.5,9.7,11.2,8.1
12.14919,19.13814,5.45153,24.9,27.5,22.3,5.3,7.6,12.6,15.9,9.2
9.94182,15.72154,4.45515,29.7,32.0,27.3,6.3,12.0,10.2,13.9,6.6
11.5288,17.59996,5.44147,21.1,22.4,19.8,5.9,8.3,9.7,12.0,7.4
11.3319,17.89522,5.12689,28.0,31.8,24.1,4.8,9.5,12.2,15.3,9.1
13.28805,21.09174,5.83671,30.7,35.0,26.4,5.3,3.9,14.3,18.8,9.8
10.95399,17.23442,5.00985,24.1,25.9,22.2,5.2,12.0,11.3,13.4,9.2
12.19174,19.19822,5.5633,31.2,33.1,29.3,6.6,7.3,10.8,13.7,8.0
11.2362,17.69386,5.08809,25.7,28.8,22.5,4.8,9.5,11.5,14.2,8.8
9.3835,14.67182,4.2488,24.6,26.9,22.2,5.3,5.7,11.2,12.7,9.7
10.44538,16.89192,4.80883,25.4,30.5,20.2,9.1,16.0,11.0,15.4,7.0
10.53851,17.01867,4.83714,25.2,31.7,18.7,9.6,23.0,11.5,16.0,7.3
15.05872,24.66382,6.88918,33.3,41.8,24.7,7.0,16.0,17.2,25.2,10.6
7.11519,11.33929,3.11558,34.5,37.7,31.2,5.1,4.7,12.5,17.2,8.0
7.71665,11.9299,3.43633,26.3,29.8,22.8,6.6,12.0,10.6,13.1,8.1
9.78872,15.27233,4.41575,32.3,37.9,26.7,6.6,7.5,10.4,12.1,8.6
8.52383,13.03324,3.78689,24.0,26.4,21.6,8.0,12.0,10.5,12.9,8.2
13.3274,21.1529,5.9053,32.3,37.3,27.3,5.3,5.2,15.7,21.0,10.6
12.21997,19.22118,5.49089,22.5,24.6,20.4,5.3,6.1,12.1,15.2,9.0
7.42912,11.51969,3.38644,26.7,27.6,25.8,4.7,7.9,10.7,12.6,8.7
10.54253,16.80512,4.72189,31.6,40.3,22.9,5.7,6.8,18.8,26.0,12.3
11.7853,19.33714,5.39399,32.0,42.1,21.8,7.8,28.0,19.3,28.4,11.7
11.30123,18.03671,5.14287,33.4,34.9,31.9,5.3,7.2,10.6,14.0,7.3
10.91336,17.25542,4.91652,27.7,28.6,26.7,10.3,8.2,9.6,12.8,6.5
11.3319,17.89522,5.12689,28.0,31.8,24.1,4.8,9.4,11.9,14.8,9.1
6.80397,10.48831,3.09035,16.2,17.0,15.4,4.7,3.1,8.7,10.0,7.4
10.28089,16.16159,4.65149,23.4,25.8,21.0,4.8,7.7,10.6,13.0,8.2
10.73588,16.90264,4.88897,27.8,35.5,20.1,6.6,6.6,12.0,16.0,8.0
11.57815,18.36997,4.96777,22.7,25.0,20.4,7.5,6.1,12.3,15.6,8.8
7.4752,11.89236,3.27664,37.9,42.3,33.5,5.1,4.7,12.5,17.2,8.0
7.67835,12.29967,3.40767,23.3,27.1,19.6,5.1,7.3,9.1,11.5,6.9
10.59925,17.22221,4.67622,31.8,35.8,27.8,7.0,3.7,22.1,29.8,15.2
14.05427,23.12288,6.59685,36.4,49.5,23.2,6.6,64.0,23.7,35.0,14.2
11.30123,18.03671,5.14287,33.4,34.9,31.9,5.3,7.2,10.6,14.0,7.3
10.44538,16.89192,4.80883,25.4,30.5,20.2,9.6,16.0,11.0,15.4,7.0
10.47519,16.73585,4.61404,31.5,37.4,25.6,5.8,2.9,15.5,21.0,10.4
7.11519,11.33929,3.11558,33.5,36.5,30.5,6.4,2.2,12.5,17.2,8.0
15.05872,24.66382,6.88918,33.3,41.8,24.7,7.0,15.0,16.9,24.5,10.4
9.30324,14.51377,4.22639,22.2,24.4,19.9,4.5,4.1,10.3,11.6,9.1
8.07439,12.28169,3.69603,12.6,12.6,12.5,3.2,4.1,8.7,10.2,7.0
9.15577,14.37754,4.13998,21.6,26.9,16.3,6.1,3.9,9.6,12.4,6.8
11.72756,18.72897,5.32766,33.6,35.3,31.7,5.4,9.0,10.7,14.2,7.4
9.3835,14.67182,4.2488,24.6,26.9,22.2,5.3,5.2,10.6,12.0,9.2
10.69437,16.6779,4.91056,25.7,28.4,23.0,5.9,6.4,8.1,9.9,6.3
7.71665,11.9299,3.43633,26.3,29.8,22.8,6.6,8.1,10.7,13.4,8.1
7.47418,11.48784,3.4328,19.1,19.9,18.2,3.2,2.9,9.7,11.4,8.0
7.21902,11.57386,3.21568,24.5,29.4,19.6,5.1,6.6,10.5,13.5,7.7
11.30438,18.10182,5.05029,30.8,35.7,25.9,9.0,19.0,19.0,25.8,12.7
13.3274,21.1529,5.9053,32.3,37.3,27.3,5.3,5.2,16.7,22.2,11.5
10.91336,17.25542,4.91652,27.7,28.6,26.7,10.3,6.9,9.6,12.8,6.5
11.14347,17.70949,4.81498,23.5,25.7,21.3,7.5,7.7,13.0,17.3,8.7
8.71981,13.75757,3.86129,42.9,49.1,36.7,6.6,4.6,13.4,18.2,8.8
12.19174,19.19822,5.5633,31.2,33.1,29.3,6.6,8.1,11.2,14.2,8.4
6.90897,10.82393,3.08387,28.6,33.3,23.9,6.6,11.0,11.1,13.8,8.5
6.80397,10.48831,3.09035,16.2,17.0,15.4,3.6,3.3,8.7,10.0,7.4
11.97275,18.80739,5.45854,26.4,27.7,25.0,6.6,4.9,10.4,12.9,7.9
11.71409,18.12455,5.54587,23.8,25.2,22.3,5.2,7.1,10.4,12.2,8.6
9.94182,15.72154,4.45515,29.7,32.0,27.3,6.3,10.0,10.3,14.0,6.6
12.21997,19.22118,5.49089,22.0,24.1,19.9,6.9,5.0,12.1,15.2,9.0
7.84791,12.05698,3.62324,12.6,13.3,13.1,3.2,2.6,8.5,10.0,7.0
7.96607,12.71871,3.53716,23.1,26.6,19.5,5.1,4.2,9.0,11.3,6.8
11.30438,18.10182,5.05029,30.8,35.7,25.9,6.6,21.0,20.6,28.4,13.4
7.47418,11.48784,3.4328,19.1,19.9,18.2,6.6,7.9,9.9,11.7,8.1
10.53851,17.01867,4.83714,25.2,31.7,18.7,9.6,20.0,11.5,16.0,7.3
11.30438,18.10182,5.05029,30.8,35.7,25.9,9.0,24.0,20.0,27.5,13.1
9.61349,14.99871,4.3703,21.1,21.9,20.3,5.6,6.5,11.9,13.8,10.1
14.1729,23.293,6.55996,34.0,45.5,22.4,7.8,53.0,21.4,31.6,12.8
11.72756,18.72897,5.32766,33.7,35.9,31.4,5.4,9.1,10.8,14.4,7.4
11.5288,17.59996,5.44147,21.1,22.4,19.8,4.5,5.8,9.7,12.0,7.4
9.61349,14.99871,4.3703,18.1,19.4,18.4,5.6,5.4,11.3,13.1,9.5
13.28805,21.09174,5.83671,30.7,35.0,26.4,7.1,4.2,14.3,18.8,9.8
11.26302,18.39643,5.11049,29.7,36.3,23.0,6.5,9.3,14.9,22.1,8.8
9.40172,14.64187,4.28697,17.5,17.8,17.1,5.3,4.0,10.8,12.6,9.0
12.25158,19.55246,5.57008,33.8,36.7,30.9,5.4,9.0,11.3,15.2,7.5
10.19669,15.96408,4.62202,27.5,30.0,25.0,5.3,5.7,11.6,13.3,9.8
9.40172,14.64187,4.28697,17.5,17.8,17.1,5.3,4.0,10.8,12.6,9.0
8.07439,12.28169,3.69603,12.0,11.9,12.0,5.5,4.9,8.7,10.2,7.0
13.28805,21.09174,5.83671,30.7,35.0,26.4,7.1,4.2,14.3,18.8,9.8
10.28089,16.16159,4.65149,23.9,26.3,21.4,4.8,8.9,10.6,13.0,8.2
10.39688,16.19171,4.76811,25.7,28.3,23.0,5.9,5.4,7.9,9.6,6.1
12.25158,19.55246,5.57008,33.8,36.7,30.9,5.4,8.6,11.0,14.7,7.4
11.26302,18.39643,5.11049,29.7,36.3,23.0,7.0,10.0,14.9,22.1,8.8
13.28805,21.09174,5.83671,30.7,35.0,26.4,7.1,3.9,14.3,18.8,9.8
11.62513,18.67462,5.15442,24.0,27.9,20.1,6.8,12.0,17.0,22.8,11.5
11.14347,17.70949,4.81498,23.5,25.7,21.3,7.5,7.4,13.1,16.9,9.3
6.82976,10.54198,3.09854,20.7,21.6,19.7,4.7,6.1,9.5,11.0,7.9
7.42912,11.51969,3.38644,26.7,27.6,25.8,4.7,8.2,10.5,12.4,8.6
9.4453,14.68035,4.25363,24.8,31.3,19.6,4.2,5.4,8.5,9.8,7.2
11.26302,18.39643,5.11049,29.7,36.3,23.0,6.5,11.0,14.9,22.1,8.8
11.72756,18.72897,5.32766,33.7,35.9,31.4,5.4,8.8,10.9,14.5,7.5
7.21902,11.57386,3.21568,24.5,29.4,19.6,5.1,6.4,9.8,12.4,7.3
10.38865,16.24359,4.71538,25.5,26.8,24.2,5.6,7.0,12.7,14.7,10.7
9.78872,15.27233,4.41575,32.3,37.9,26.7,4.2,7.3,9.8,11.3,8.3
12.21442,18.87609,5.74515,27.1,28.1,26.1,5.2,8.6,11.6,13.7,9.4
11.62513,18.67462,5.15442,24.7,28.6,20.7,9.0,15.0,17.0,22.8,11.5
10.59925,17.22221,4.67622,31.8,35.8,27.8,7.0,5.0,22.1,29.8,15.2
11.14347,17.70949,4.81498,23.5,25.7,21.3,6.6,9.4,13.5,18.0,8.9
10.19669,15.96408,4.62202,27.5,30.0,25.0,5.3,6.3,12.0,13.8,10.2
10.83775,17.66167,4.82148,34.6,39.4,29.7,6.0,15.0,24.5,33.2,16.6
12.21442,18.87609,5.74515,27.1,28.1,26.1,6.6,9.8,11.3,13.5,9.1
13.09042,21.73064,5.99413,37.0,50.3,23.7,5.9,16.0,21.6,31.2,13.5
8.07439,12.28169,3.69603,12.0,11.9,12.0,5.5,4.9,8.7,10.2,7.0
11.14347,17.70949,4.81498,23.5,25.7,21.3,7.5,7.9,12.4,16.2,8.5
10.73588,16.90264,4.88897,27.8,35.5,20.1,5.8,5.6,11.1,14.6,7.6
10.39688,16.19171,4.76811,25.5,28.1,22.9,5.9,4.7,7.9,9.6,6.1
11.97275,18.80739,5.45854,26.4,27.7,25.0,4.6,5.0,10.4,12.9,7.9
11.40099,18.28931,5.23832,25.3,33.1,17.4,9.6,26.0,11.8,16.5,7.5
10.83775,17.66167,4.82148,34.6,39.4,29.7,6.0,12.0,23.1,30.9,16.1
6.90897,10.82393,3.08387,28.6,33.3,23.9,6.6,13.0,10.9,13.5,8.2
14.22937,23.29998,6.59207,37.2,47.9,26.4,6.6,25.0,19.9,29.0,12.3
7.11519,11.33929,3.11558,33.5,36.5,30.5,6.4,2.1,12.5,17.2,8.0
11.40099,18.28931,5.23832,25.3,33.1,17.4,6.6,28.0,12.4,17.2,7.9
11.60985,19.29576,5.34309,38.5,52.5,24.4,7.8,37.0,22.0,32.1,13.6
15.05872,24.66382,6.88918,33.3,41.8,24.7,7.0,18.0,17.1,25.0,10.5
10.47519,16.73585,4.61404,31.5,37.4,25.6,5.7,3.2,15.5,21.0,10.4
11.60985,19.29576,5.34309,38.5,52.5,24.4,7.8,40.0,22.0,31.9,13.9
10.97589,17.33298,4.68963,22.0,24.4,19.6,5.8,3.9,11.4,14.8,8.0
6.90897,10.82393,3.08387,28.6,33.3,23.9,6.6,8.1,11.5,14.3,8.6
10.54253,16.80512,4.72189,31.6,40.3,22.9,5.7,6.8,18.2,25.0,11.9
10.8168,16.95108,4.93842,15.4,17.3,13.5,5.2,7.0,10.3,12.1,8.5
14.1729,23.293,6.55996,34.0,45.5,22.4,7.8,50.0,19.8,29.3,11.9
9.15577,14.37754,4.13998,21.6,26.9,16.3,5.8,3.6,9.6,12.4,6.8
10.95399,17.23442,5.00985,24.1,25.9,22.2,6.6,14.0,12.4,14.9,10.0
12.21442,18.87609,5.74515,27.1,28.1,26.1,5.2,8.9,11.4,13.7,9.1
12.21442,18.87609,5.74515,27.1,28.1,26.1,5.2,9.8,11.9,14.1,9.6
9.4453,14.68035,4.25363,27.9,33.7,22.1,4.2,8.1,9.1,10.7,7.6
12.23209,19.36109,5.58297,37.1,39.7,34.5,6.6,8.5,12.0,15.2,8.9
11.71409,18.12455,5.54587,21.4,23.7,20.3,5.2,7.0,9.9,11.6,8.3
14.22937,23.29998,6.59207,37.2,47.9,26.4,7.0,23.0,18.2,26.8,11.1
7.21902,11.57386,3.21568,24.5,29.4,19.6,5.1,5.8,10.0,12.7,7.4
7.67835,12.29967,3.40767,23.8,27.9,19.6,5.1,7.3,9.4,11.8,7.1
10.28089,16.16159,4.65149,23.4,25.8,21.0,3.6,7.8,10.6,13.0,8.2
15.05872,24.66382,6.88918,30.5,38.5,23.7,7.0,13.0,16.6,24.4,9.9
6.80397,10.48831,3.09035,16.2,17.0,15.4,3.6,3.3,8.7,10.0,7.4
7.21902,11.57386,3.21568,24.5,29.4,19.6,6.6,8.7,10.4,13.5,7.6
11.57815,18.36997,4.96777,22.7,25.0,20.4,7.5,6.5,12.1,16.0,8.2
11.5288,17.59996,5.44147,21.6,23.0,20.1,4.5,8.9,9.7,12.0,7.4
11.46278,18.39543,5.09315,27.2,31.6,22.8,9.0,19.0,19.4,26.5,12.8
11.40099,18.28931,5.23832,25.3,33.1,17.4,9.6,27.0,12.2,16.9,8.0
